id,name,height,label
1,Bob,167,:User
2,Bob,186,:Dipendent
3,Luca,185,:Boss
4,David,170,:Dipendent
5,Charlie,191,:User
6,David,158,:Boss
7,David,156,:Employee
8,Luca,152,:Dipendent
9,Alice,191,:Employee
10,David,161,:Boss
11,Charlie,156,:Employee
12,David,191,:Employee
13,David,181,:User
14,Luca,188,:Boss
15,Alice,154,:Boss
16,Bob,195,:Employee
17,Luca,181,:Boss
18,Charlie,184,:Employee
19,Bob,166,:Employee
20,Bob,190,:Dipendent
21,Bob,151,:User
22,Luca,155,:User
23,Luca,200,:User
24,David,191,:User
25,Bob,165,:Boss
26,Alice,195,:User
27,Charlie,197,:User
28,Luca,175,:Dipendent
29,Bob,155,:User
30,Bob,189,:Boss
31,Luca,173,:Employee
32,Luca,150,:Employee
33,David,155,:User
34,David,197,:Employee
35,Luca,169,:Dipendent
36,David,188,:User
37,Charlie,187,:Boss
38,Charlie,195,:Employee
39,Bob,190,:Boss
40,Bob,187,:User
41,Bob,198,:Employee
42,Charlie,152,:User
43,David,190,:Boss
44,Luca,168,:Boss
45,Bob,172,:Dipendent
46,Charlie,156,:Employee
47,Alice,191,:Employee
48,Bob,180,:User
49,Bob,156,:Employee
50,Alice,188,:Dipendent
51,David,186,:Boss
52,Luca,178,:Employee
53,Alice,168,:Employee
54,Luca,181,:User
55,David,181,:Boss
56,Bob,158,:Employee
57,Bob,155,:Boss
58,Bob,170,:Boss
59,Alice,177,:Boss
60,Bob,155,:Employee
61,Bob,195,:Boss
62,Bob,166,:User
63,Charlie,197,:Boss
64,Bob,189,:Boss
65,Charlie,166,:Boss
66,David,171,:Employee
67,Alice,168,:User
68,David,166,:Dipendent
69,Luca,159,:Dipendent
70,Alice,188,:Dipendent
71,Charlie,188,:Boss
72,David,157,:Dipendent
73,Bob,197,:User
74,David,196,:Boss
75,Luca,197,:Boss
76,Alice,171,:Boss
77,Charlie,150,:Boss
78,Luca,150,:Dipendent
79,Bob,200,:User
80,Alice,180,:Boss
81,Bob,153,:Dipendent
82,Alice,154,:Employee
83,David,185,:Boss
84,Alice,188,:Employee
85,Alice,169,:Boss
86,Alice,185,:Dipendent
87,Luca,166,:Employee
88,Bob,169,:User
89,David,162,:Employee
90,Bob,174,:User
91,Bob,184,:Employee
92,Alice,159,:Boss
93,Alice,168,:Employee
94,Charlie,154,:Boss
95,David,158,:Boss
96,Bob,195,:Employee
97,Alice,185,:Dipendent
98,Luca,196,:User
99,Alice,192,:User
100,Luca,159,:Dipendent
101,David,184,:User
102,David,154,:Boss
103,Charlie,177,:User
104,Bob,198,:Boss
105,Charlie,160,:Dipendent
106,Luca,161,:Boss
107,Luca,196,:Employee
108,David,189,:Dipendent
109,Bob,165,:User
110,Charlie,175,:User
111,Alice,173,:Boss
112,Bob,161,:Employee
113,Charlie,168,:Boss
114,Alice,154,:Dipendent
115,Bob,182,:Employee
116,Bob,195,:Dipendent
117,David,177,:Boss
118,Charlie,169,:Employee
119,Alice,190,:User
120,Bob,175,:Dipendent
121,Bob,200,:Boss
122,Luca,171,:User
123,Luca,172,:Employee
124,Bob,172,:User
125,Luca,200,:User
126,David,187,:Dipendent
127,Luca,179,:Dipendent
128,Alice,185,:Dipendent
129,Charlie,150,:Dipendent
130,Charlie,190,:Dipendent
131,Luca,189,:User
132,David,153,:Boss
133,Charlie,190,:Dipendent
134,David,198,:Dipendent
135,David,200,:Employee
136,Alice,153,:Dipendent
137,Alice,172,:User
138,Bob,173,:Employee
139,Luca,197,:Employee
140,Alice,156,:User
141,Luca,179,:Dipendent
142,David,160,:User
143,Bob,186,:Employee
144,Charlie,200,:Employee
145,David,153,:Employee
146,Alice,180,:User
147,Bob,197,:User
148,Alice,156,:Dipendent
149,Luca,150,:Employee
150,Charlie,195,:Dipendent
151,Luca,188,:User
152,Luca,154,:Dipendent
153,David,164,:User
154,Charlie,164,:Employee
155,Bob,151,:Boss
156,Bob,174,:User
157,David,168,:Employee
158,David,187,:Dipendent
159,Charlie,165,:Employee
160,Bob,153,:Boss
161,Luca,165,:User
162,Luca,164,:Dipendent
163,Charlie,178,:Dipendent
164,David,196,:Dipendent
165,Bob,164,:User
166,Bob,183,:Dipendent
167,Bob,179,:User
168,David,175,:Dipendent
169,Alice,168,:Employee
170,Alice,155,:Boss
171,David,166,:Employee
172,David,181,:Employee
173,David,183,:User
174,David,183,:Dipendent
175,Charlie,180,:Boss
176,David,176,:User
177,Charlie,177,:User
178,David,178,:Dipendent
179,Alice,160,:Employee
180,Alice,200,:Boss
181,David,189,:Dipendent
182,David,192,:Dipendent
183,Alice,185,:User
184,Alice,159,:User
185,David,152,:User
186,Charlie,191,:Boss
187,Alice,198,:User
188,Alice,165,:Dipendent
189,Luca,179,:Employee
190,David,154,:Employee
191,Charlie,170,:User
192,Luca,191,:Boss
193,Bob,154,:User
194,Alice,189,:Dipendent
195,Charlie,164,:Employee
196,Alice,194,:Boss
197,Luca,159,:Dipendent
198,Luca,190,:User
199,Bob,186,:Dipendent
200,Luca,163,:Employee
201,David,177,:Dipendent
202,Charlie,195,:User
203,Alice,195,:Dipendent
204,Luca,160,:User
205,David,174,:Employee
206,Charlie,190,:Employee
207,Alice,184,:User
208,David,156,:Boss
209,Charlie,160,:Dipendent
210,Bob,181,:Boss
211,Bob,166,:User
212,Luca,181,:User
213,Alice,165,:User
